code;name;country
7483371;Lower League;Belarus
7500000;First League;Bulgaria
7500118;Second League;Bulgaria
7500138;Third SE League;Bulgaria
7500139;Third SW League;Bulgaria
7500140;Third NE League;Bulgaria
7500141;Third NW League;Bulgaria
7500142;Lower Division;Bulgaria
7520391;Division I;Hungary
7520394;Lower Division;Hungary
7540024;Casa Liga I;Romania
7540206;Liga III Seria 1;Romania
7540207;Liga IV Bucuresti;Romania
7560276;First Division;Slovakia
7560277;Second Division;Slovakia
7560278;Lower Division;Slovakia
7580000;First League;Slovenia
7580001;Second League;Slovenia
7581079;Third League West;Slovenia
7640505;Second Division;India
7681558;Premier League;Estonia
7681559;First League;Estonia
7801114;NFL Division 1;Singapore
7840132;Premier Division;Iceland
7840133;First Division;Iceland
7841964;Lower Division;Iceland
7860000;Premier League;Israel
7860001;National League;Israel
7880000;Pro League;United Arab Emirates
7880028;First Division;United Arab Emirates
7900423;Ikkinchi Liga;Uzbekistan
7900424;Lower Liga;Uzbekistan
7920263;Pro League;Saudi Arabia
7920264;First Division;Saudi Arabia
7920511;Lower Division;Saudi Arabia
8050901;Third Division - GR;Russia
8050902;Third Division - NW;Russia
8050903;Third Division - South;Russia
8050904;Third Division - Volga;Russia
8050905;Third Division - Far East;Russia
8050906;Third Division - Siberia;Russia
8050907;Third Division - Ural;Russia
8050908;Third Division - Chernoz.;Russia
8050940;Third Division - Moscow;Russia
8055759;Second Div. - Ural/Volga;Russia
8074978;4th Division - Siberia;Russia
8114887;First Division South;Sweden
8114888;First Division North;Sweden
8154769;Brabant Provincial (Wal);Belgium
8154770;Antwerp Provincial;Belgium
8154771;W-Flanders Provincial;Belgium
8154772;E-Flanders Division;Belgium
8154773;Hainaut Provincial;Belgium
8154774;Namur Provincial;Belgium
8154775;Luxembourg Provincial;Belgium
8154776;Limburg Provincial;Belgium
8154777;Liège Provincial;Belgium
8154824;First Division;Belgium
8300358;Premier League;Faroe Islands
8300362;First Division;Faroe Islands
8300363;Second Division;Faroe Islands
8300364;Third Division;Faroe Islands
8350942;Superleague;Albania
8351378;Lower Category;Albania
8401070;First League;North Macedonia
8401071;Lower Leagues;North Macedonia
8401073;Premier League;Bosnia And Herzegovina
8401074;Lower League;Bosnia And Herzegovina
8403697;Higher League;Latvia
8403699;Lower Leagues;Latvia
8403797;First League;Latvia
8407360;First League RS;Bosnia And Herzegovina
8407370;First League FBiH;Bosnia And Herzegovina
8457145;Super League;New Caledonia
8457146;S-League;Solomon Islands
8457147;First Division;French Polynesia
8457148;Premier League;Samoa
8457149;Premier League;Fiji
8459267;Port Vila Premier;Vanuatu
8459277;TFA National League;Tonga
8459333;Division 1;American Samoa
8550000;V.League 1;Vietnam
8550001;V.League 2;Vietnam
8550028;Second Division A;Vietnam
8550030;Second Division B;Vietnam
8550034;Lower Division;Vietnam
8700002;Baden-Württemberg;Germany
8700003;Hessia;Germany
8700004;RP/Saar;Germany
8700005;Westphalia;Germany
8700007;North East-South;Germany
8700008;North East-North;Germany
8700660;German Lower Division;Germany
8826787;Metropolitan Zone;Peru
11024371;First Category - Group A;Albania
11024374;First Category - Group B;Albania
12015290;League 1;Algeria
12015393;Premier League;Egypt
12016011;Premier League;Nigeria
12019164;League 1;Tunisia
12019395;Premier Division;Morocco
12031135;League 2;Algeria
12034515;Girabola;Angola
12040173;DNA - Est;Algeria
12040174;DNA Ouest;Algeria
12040175;DNA - Centre;Algeria
12058772;First Division;Morocco
12065937;League 2A;Tunisia
12065938;League 2B;Tunisia
12066414;Lower Leagues;Morocco
12076263;Premier Division - Pool A;Mali
12076264;Premier Division - Pool B;Mali
12078428;Second Division;Senegal
12081971;Second Division - Pool A;Côte D'Ivoire
12081972;Second Division - Pool B;Côte D'Ivoire
12084359;Kenyan Second Division;Kenya
12087549;Second Division - Pool A;Burkina Faso
12087550;Second Division - Pool B;Burkina Faso
13109920;Lower Division;Angola
13109924;Premier Division;Ghana
13109925;Lower Division;Ghana
13109926;Premier Division;Côte D'Ivoire
13109927;Lower Division;Côte D'Ivoire
13110053;Lower Division;Nigeria
13117331;League 3;Tunisia
13135082;Premier League;Zambia
13135374;First Division;Zambia
13135375;Zambian Lower Division;Zambia
