code;value
;Morisco
;Moser
;Mossoró
;Mota
;Motta
;Moura
;Mubele
;Muller
;Müller
;Muniz
;Mun-Ki
;Muñoz
;Nadales
;Naninho
;Nardini
;Nascimento
;Natã
;Natal
;Natel
;Navas
;Nazaré
;Negao
;Negueba
;Nem
;Neres
;Nestor
;Neto
;Neves
;Newiton
;Ngaze
;Nicácio
;Nogueira
;Nolasco
;Norões
;Noronha
;Norton
;Novaes
;Nunes
;Obidikwa
;Obina
;Obregón
;Oliveira
;Oller
;Orlando
;Orobó
;Ortigoza
;Ortiz
;Otávio
;Ott
;Oya
;Pablo
;Pacato
;Pacheco
;Packer
;Pacujá
;Padilha
;Paes
;Paim
;Paiva
;Pajé
;Palhinha
;Papel
;Paquetá
;Pará
;Paraíba
;Paraná
;Pardal
;Pardalzinho
;Parede
;Parelhas
;Parrudo
;Paschoa
;Páscoa
;Pascoal
;Passarelli
;Passos
;Pastre
;Pato
;Patric
;Patrick
;Paty
;Paulino
;Paulista
;Paulo
;Pavone
;Pedra
;Pedro
;Pedroso
;Peixoto
;Pelouro
;Peng
;Penha
;Pereira
;Peres
;Perez
;Pérez
;Pernão
;Perotti
;Perri
;Person
;Pessoa
;Petrazzi
;Petrolina
;Phellype
;Phete
;Piauí
;Piazón
;Pica-Pau
;Pichín
;Pikachu
;Pilões
;Pimba
;Pimenta
;Pimentel
;Pimpão
;Pin
;Pinho
;Pink
;Pinto
;Pires
;Pita
;Pitbull
;Pitio
;Pitol
;Pituca
;Plá
;Platini
;Poffo
;Poletto
;Polli
;Poloni
;Pomares
;Popp
;Porcellis
;Portuga
;Portugal
;Possebon
;Possignolo
;Pote
;Potiguar
;Pottker
;Prada
;Prado
;Praes
;Prass
;Prata
;Prates
;Primão
;Príncipe
;Puhl
;Pyerre
;Qiuqi
;Qiyuan
;Quaresma
;Queiroz
;Queiróz
;Querino
;Quichini
;Quipapá
;Quixadá
;Quoc Trung
;Rabello
;Rafael
;Ragelli
;Ramon
;Ramón
;Ramos
;Rampi
;Rangel
;Raphael
;Raposo
;Ratao
;Ratinho
;Real
;Recife
;Régis
;Reina
;Reis
;Renan
;Renato
;Renê
;Restinga
;Rex
;Ribeiro
;Ricardo
;Riechelmann
;Rigo
;Rinaldi
;Rios
;Rissi
;Roballo
;Roberto
;Roca
;Rocha
;Rodrigues
;Rodríguez
;Roggia
;Roldán
;Romão
;Romário
;Romero
;Rômulo
;Ronaldo
;Roncatto
;Rosa
;Rossetto
;Rossi
;Rozário
;Rueda
;Rui
;Ruofan
;Rusch
;Russo
;Ryan
;Ryller
;Sá
;Saad
;Sabiá
;Saci
;Sacoman
;Sacramento
;Salero
;Sales
;Salino
;Salles
;Salustiano
;Sam
;Sampaio
;Sanches
;Sánchez
;Sandows
;Santana
;Santos
;Sara
;Saraiva
;Sarôa
;Sartore
;Sartori
;Sasha
;Saturnino
;Sauer
;Scarpa
;Schettine
;Schmidt
;Schmöller
;Schuster
;Schutz
;Sciola
;Sebastian
;Sena
;Sérgio
;Sergipano
;Serra
;Serrano
;Serrato
;Sheng
;Shilin
;Shimabuku
;Shin-Wook
;Shuai
;Sillas
;Silva
;Silveira
;Silvestre
;Simas
;Simião
;Simões
;Simon
;Simón
;Simplício
;Sissoko
;Siu Ki
;Soares
;Sóbis
;Sobral
;Sobralense
;Sodré
;Sosa
;Sotero
;Sousa
;Souto
;Soutto
;Souza
;Spadacio
;Stehb
;Stockl
;Suárez
;Sulzbach
;Suri
;Szymonek
;Tagliapietra
;Tallo
;Tanque
;Tao
;Tapajós
;Tardelli
;Tarracha
;Tatu
;Tavares
;Taylor
;Tchê
;Teixeira
;Teles
;Tena
;Tenório
;Teram
;Theodoro
;Thiam
;Thuique
;Thyere
;Tiago
;Tilica
;Timbó
;Tiuí
;Tocantins
;Toledo
;Tolói
;Tomazi
;Tomé
;Toro
;Torres
;Toscano
;Trevisan
;Tufa
;Túlio
;Turossi
;Ui-Jo
;Ulisses
;Urso
;Valverde
;Vançan
;Varela
;Vargas
;Vasconcelos
;Vaz
;Vázquez
;Vegas
;Veiga
;Veloso
;Veneno
;Venuto
;Veríssimo
;Viana
;Viçosa
;Victor
;Vidal
;Vidotto
;Vieira
;Vila
;Vilela
;Villa
;Vinicius
;Vinícius
;Vital
;Vitor
;Vítor
;Vizeu
;Volpi
;Wagner
;Wai Tsun
;Walef
;Wanzeler
;Wei
;Weihao
;Welison
;Wenzel
;Wilker
;William
;Winck
;Xavier
;Xiaomao
;Xiaoxuan
;Ximenes
;Xinli
